Model,IC,$N_p$,$\Delta$IC,se(IC),se($\Delta$IC)
Decay and death,-1553.2612028199226,71.06979065188375,0.0,36.0157548475826,0.0
Decay only,-1586.5778855255912,63.58134288920883,33.31668270566873,38.29431376750189,12.913546082305265
Death only,-1625.497354206283,78.7565936894116,72.2361513863604,38.61109915542817,14.008865207246847
